soc,title,group,group_name,phys_share,ai_tech,robot_tech,barrier,raw_capability,displacement,primary_threat,national_employment,outflow,inflow,net_flow,net_flow_pct
13-1111,Management Analysts,13,Business & Financial,3,72,4,30,70.0,49,AI,882670.0,432508.0,39084.0,-393424.0,-44.6
13-1121,Meeting/Event/Convention Planners,13,Business & Financial,3,72,4,30,70.0,49,AI,130390.0,63891.0,39551.0,-24340.0,-18.7
13-1131,Fundraisers,13,Business & Financial,3,72,4,30,70.0,49,AI,103390.0,50661.0,39568.0,-11093.0,-10.7
13-1141,Compensation/Benefits/Job Analysis Specialists,13,Business & Financial,3,72,4,30,70.0,49,AI,100370.0,49181.0,39570.0,-9611.0,-9.6
13-1151,Training & Development Specialists,13,Business & Financial,3,72,4,30,70.0,49,AI,426000.0,208740.0,39368.0,-169372.0,-39.8
13-1161,Market Research Analysts,13,Business & Financial,3,80,4,30,77.7,54,AI,836450.0,451683.0,30773.0,-420910.0,-50.3
13-1199,Business Operations Specialists NEC,13,Business & Financial,3,72,4,30,70.0,49,AI,1094330.0,536222.0,38953.0,-497269.0,-45.4
13-2011,Accountants & Auditors,13,Business & Financial,3,84,4,30,81.6,57,AI,1426040.0,812843.0,25991.0,-786852.0,-55.2
13-2020,Property Appraisers & Assessors,13,Business & Financial,3,72,4,30,70.0,49,AI,58100.0,28469.0,39596.0,11127.0,19.2
13-2031,Budget Analysts,13,Business & Financial,3,72,4,30,70.0,49,AI,46150.0,22614.0,39604.0,16990.0,36.8
13-2041,Credit Analysts,13,Business & Financial,3,72,4,30,70.0,49,AI,67150.0,32904.0,39591.0,6687.0,10.0
13-2051,Financial & Investment Analysts,13,Business & Financial,3,82,4,30,79.7,56,AI,332940.0,186446.0,28171.0,-158275.0,-47.5
13-2052,Personal Financial Advisors,13,Business & Financial,3,72,4,73,70.0,19,AI,265180.0,50384.0,99811.0,49427.0,18.6
13-2053,Insurance Underwriters,13,Business & Financial,3,88,4,30,85.5,60,AI,106970.0,64182.0,22714.0,-41468.0,-38.8
13-2054,Financial Risk Specialists,13,Business & Financial,3,72,4,30,70.0,49,AI,55650.0,27268.0,39598.0,12329.0,22.2
13-2061,Financial Examiners,13,Business & Financial,3,72,4,30,70.0,49,AI,62230.0,30493.0,39594.0,9101.0,14.6
13-2071,Credit Counselors,13,Business & Financial,3,62,2,30,60.2,42,AI,26580.0,11164.0,52229.0,41066.0,154.5
13-2072,Loan Officers,13,Business & Financial,3,72,4,30,70.0,49,AI,289660.0,141933.0,39452.0,-102481.0,-35.4
13-2081,Tax Examiners & Collectors,13,Business & Financial,3,72,4,30,70.0,49,AI,52650.0,25798.0,39600.0,13801.0,26.2
13-2082,Tax Preparers,13,Business & Financial,3,86,4,30,83.5,58,AI,71790.0,41638.0,25319.0,-16319.0,-22.7
13-2099,Financial Specialists NEC,13,Business & Financial,3,72,4,30,70.0,49,AI,123910.0,60716.0,39555.0,-21160.0,-17.1
15-1211,Computer Systems Analysts,15,Computer & Math,2,78,3,5,76.5,73,AI,491900.0,359087.0,10651.0,-348436.0,-70.8
15-1212,Information Security Analysts,15,Computer & Math,2,78,3,5,76.5,73,AI,173750.0,126838.0,10741.0,-116096.0,-66.8
15-1221,Computer & Information Research Scientists,15,Computer & Math,1,78,3,5,77.2,73,AI,34330.0,25061.0,10702.0,-14359.0,-41.8
15-1231,Computer Network Support Specialists,15,Computer & Math,2,78,3,5,76.5,73,AI,142610.0,104105.0,10750.0,-93355.0,-65.5
15-1232,Computer User Support Specialists,15,Computer & Math,2,78,3,5,76.5,73,AI,687090.0,501576.0,10596.0,-490980.0,-71.5
15-1241,Database Administrators,15,Computer & Math,2,78,3,5,76.5,73,AI,163950.0,119684.0,10744.0,-108939.0,-66.4
15-1242,Database Architects,15,Computer & Math,2,78,3,5,76.5,73,AI,71930.0,52509.0,10770.0,-41739.0,-58.0
15-1243,Database Architects (Cloud),15,Computer & Math,2,78,3,5,76.5,73,AI,62290.0,45472.0,10773.0,-34699.0,-55.7
15-1244,Network & Computer Systems Administrators,15,Computer & Math,2,78,3,5,76.5,73,AI,310700.0,226811.0,10703.0,-216108.0,-69.6
15-1245,Network Architects (Cloud),15,Computer & Math,2,78,3,5,76.5,73,AI,0.0,0.0,10791.0,10791.0,
15-1251,Computer Programmers,15,Computer & Math,1,88,3,5,87.2,83,AI,109660.0,91018.0,4030.0,-86988.0,-79.3
15-1252,Software Developers,15,Computer & Math,1,88,3,5,87.2,83,AI,1603000.0,1330490.0,3808.0,-1326682.0,-82.8
15-1253,Software Quality Assurance Analysts,15,Computer & Math,2,78,3,5,76.5,73,AI,192020.0,140175.0,10736.0,-129438.0,-67.4
15-1254,Web Developers,15,Computer & Math,1,88,3,5,87.2,83,AI,75510.0,62673.0,4035.0,-58638.0,-77.7
15-1255,Web & Digital Interface Designers,15,Computer & Math,2,78,3,5,76.5,73,AI,108460.0,79176.0,10760.0,-68416.0,-63.1
15-1299,Computer Occupations NEC,15,Computer & Math,2,78,3,5,76.5,73,AI,425060.0,310294.0,10670.0,-299624.0,-70.5
15-2011,Actuaries,15,Computer & Math,2,78,3,5,76.5,73,AI,26540.0,19374.0,10783.0,-8591.0,-32.4
15-2021,Mathematicians,15,Computer & Math,2,78,3,5,76.5,73,AI,1610.0,1175.0,10790.0,9615.0,597.2
15-2031,Operations Research Analysts,15,Computer & Math,2,78,3,5,76.5,73,AI,106860.0,78008.0,10760.0,-67247.0,-62.9
15-2041,Statisticians,15,Computer & Math,2,78,3,5,76.5,73,AI,28190.0,20579.0,10783.0,-9796.0,-34.8
15-2051,Data Scientists,15,Computer & Math,1,78,3,5,77.2,73,AI,227600.0,166148.0,10646.0,-155502.0,-68.3
15-2099,Mathematical Science Occupations NEC,15,Computer & Math,2,78,3,5,76.5,73,AI,3770.0,2752.0,10790.0,8037.0,213.2
17-1011,Architects (except Naval),17,Architecture & Eng,10,56,3,10,50.7,46,AI,107970.0,49666.0,47034.0,-2632.0,-2.4
17-1012,Landscape Architects,17,Architecture & Eng,10,56,3,10,50.7,46,AI,17110.0,7871.0,47081.0,39210.0,229.2
17-1021,Cartographers & Photogrammetrists,17,Architecture & Eng,10,56,3,10,50.7,46,AI,10940.0,5032.0,47084.0,42052.0,384.4
17-1022,Surveyors,17,Architecture & Eng,10,56,3,10,50.7,46,AI,51580.0,23727.0,47063.0,23336.0,45.2
17-2011,Aerospace Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,63880.0,29385.0,47057.0,17672.0,27.7
17-2021,Agricultural Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,770.0,354.0,47089.0,46735.0,6069.5
17-2031,Bioengineers & Biomedical Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,20640.0,9494.0,47079.0,37585.0,182.1
17-2041,Chemical Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,19030.0,8754.0,47080.0,38326.0,201.4
17-2051,Civil Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,345420.0,158893.0,46912.0,-111981.0,-32.4
17-2061,Computer Hardware Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,60280.0,27729.0,47059.0,19330.0,32.1
17-2071,Electrical Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,184800.0,85008.0,46995.0,-38013.0,-20.6
17-2072,Electronics Engineers (non-computer),17,Architecture & Eng,10,56,3,10,50.7,46,AI,88160.0,40554.0,47044.0,6491.0,7.4
17-2081,Environmental Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,36150.0,16629.0,47071.0,30442.0,84.2
17-2111,Health & Safety Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,22820.0,10497.0,47078.0,36581.0,160.3
17-2112,Industrial Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,348260.0,160200.0,46910.0,-113289.0,-32.5
17-2121,Marine Engineers & Naval Architects,17,Architecture & Eng,10,56,3,10,50.7,46,AI,5520.0,2539.0,47087.0,44548.0,807.0
17-2131,Materials Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,21940.0,10092.0,47078.0,36986.0,168.6
17-2141,Mechanical Engineers,17,Architecture & Eng,18,56,3,10,46.5,42,AI,279330.0,117319.0,56721.0,-60597.0,-21.7
17-2151,Mining & Geological Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,5060.0,2328.0,47087.0,44760.0,884.6
17-2161,Nuclear Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,12810.0,5893.0,47083.0,41191.0,321.6
17-2171,Petroleum Engineers,17,Architecture & Eng,10,56,3,10,50.7,46,AI,17460.0,8032.0,47081.0,39049.0,223.6
17-2199,Engineers NEC,17,Architecture & Eng,10,56,3,10,50.7,46,AI,148690.0,68397.0,47013.0,-21384.0,-14.4
17-3011,Architectural & Civil Drafters,17,Architecture & Eng,10,56,3,10,50.7,46,AI,106780.0,49119.0,47035.0,-2084.0,-2.0
17-3012,Electrical & Electronics Drafters,17,Architecture & Eng,10,56,3,10,50.7,46,AI,19040.0,8758.0,47080.0,38322.0,201.3
17-3013,Mechanical Drafters,17,Architecture & Eng,18,56,3,10,46.5,42,AI,38690.0,16250.0,56840.0,40591.0,104.9
17-3019,Drafters NEC,17,Architecture & Eng,10,56,3,10,50.7,46,AI,15080.0,6937.0,47082.0,40145.0,266.2
17-3021,Aerospace Engineering Technicians,17,Architecture & Eng,10,56,3,10,50.7,46,AI,8020.0,3689.0,47086.0,43396.0,541.1
17-3022,Civil Engineering Technicians,17,Architecture & Eng,10,56,3,10,50.7,46,AI,61460.0,28272.0,47058.0,18787.0,30.6
17-3023,Electrical & Electronics Technicians,17,Architecture & Eng,10,56,3,10,50.7,46,AI,92180.0,42403.0,47042.0,4639.0,5.0
17-3024,Electro-Mechanical & Mechatronics Technicians,17,Architecture & Eng,18,56,3,10,46.5,42,AI,13930.0,5851.0,56853.0,51002.0,366.1
17-3025,Environmental Engineering Technicians,17,Architecture & Eng,10,56,3,10,50.7,46,AI,10450.0,4807.0,47084.0,42277.0,404.6
17-3026,Industrial Engineering Technicians,17,Architecture & Eng,10,56,3,10,50.7,46,AI,73450.0,33787.0,47052.0,13265.0,18.1
17-3027,Mechanical Engineering Technicians,17,Architecture & Eng,18,56,3,10,46.5,42,AI,36590.0,15368.0,56841.0,41474.0,113.3
17-3028,Calibration Technicians,17,Architecture & Eng,10,56,3,10,50.7,46,AI,15120.0,6955.0,47082.0,40127.0,265.4
17-3029,Engineering Technicians NEC,17,Architecture & Eng,10,56,3,10,50.7,46,AI,59580.0,27407.0,47059.0,19652.0,33.0
17-3031,Surveying & Mapping Technicians,17,Architecture & Eng,10,56,3,10,50.7,46,AI,54420.0,25033.0,47062.0,22029.0,40.5
19-1011,Animal Scientists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,1500.0,555.0,62174.0,61619.0,4107.9
19-1012,Food Scientists & Technologists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,11850.0,4384.0,62168.0,57784.0,487.6
19-1013,Soil & Plant Scientists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,14560.0,5387.0,62167.0,56780.0,390.0
19-1020,Biological Scientists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,0.0,0.0,62175.0,62175.0,
19-1022,Microbiologists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,19380.0,6589.0,71570.0,64981.0,335.3
19-1023,Zoologists & Wildlife Biologists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,15750.0,5355.0,71572.0,66217.0,420.4
19-1029,Biological Scientists NEC,19,Life/Physical Science,10,48,3,15,43.5,37,AI,59120.0,21874.0,62143.0,40268.0,68.1
19-1031,Conservation Scientists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,24390.0,9024.0,62162.0,53137.0,217.9
19-1032,Foresters,19,Life/Physical Science,18,48,3,15,39.9,34,AI,9220.0,3135.0,71575.0,68441.0,742.3
19-1041,Epidemiologists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,10400.0,3536.0,71575.0,68039.0,654.2
19-1042,Medical Scientists (except Epidemiologists),19,Life/Physical Science,10,48,3,15,43.5,37,AI,153130.0,56658.0,62091.0,5433.0,3.5
19-2011,Astronomers,19,Life/Physical Science,18,48,3,15,39.9,34,AI,1080.0,367.0,71580.0,71212.0,6593.7
19-2012,Physicists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,19960.0,6786.0,71570.0,64784.0,324.6
19-2021,Atmospheric & Space Scientists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,7580.0,2805.0,62171.0,59366.0,783.2
19-2031,Chemists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,82240.0,27962.0,71539.0,43577.0,53.0
19-2032,Materials Scientists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,7850.0,2904.0,62171.0,59266.0,755.0
19-2041,Environmental Scientists & Specialists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,83140.0,30762.0,62130.0,31368.0,37.7
19-2042,Geoscientists (except Hydrologists),19,Life/Physical Science,18,48,3,15,39.9,34,AI,20150.0,6851.0,71570.0,64719.0,321.2
19-2043,Hydrologists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,4850.0,1649.0,71578.0,69929.0,1441.8
19-2099,Physical Scientists NEC,19,Life/Physical Science,10,48,3,15,43.5,37,AI,21240.0,7859.0,62163.0,54304.0,255.7
19-3011,Economists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,14980.0,5093.0,71573.0,66479.0,443.8
19-3022,Survey Researchers,19,Life/Physical Science,18,48,3,15,39.9,34,AI,6440.0,2190.0,71577.0,69387.0,1077.4
19-3031,Clinical & Counseling Psychologists,19,Life/Physical Science,18,20,3,80,16.9,3,AI,0.0,0.0,118222.0,118222.0,
19-3032,Industrial-Organizational Psychologists,19,Life/Physical Science,18,30,3,80,25.1,5,AI,180.0,9.0,127972.0,127963.0,71090.5
19-3033,Psychologists NEC,19,Life/Physical Science,18,30,3,80,25.1,5,AI,67600.0,3380.0,127961.0,124581.0,184.3
19-3034,School Psychologists,19,Life/Physical Science,18,30,3,80,25.1,5,AI,63280.0,3164.0,127962.0,124798.0,197.2
19-3041,Sociologists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,2150.0,731.0,71579.0,70848.0,3295.3
19-3051,Urban & Regional Planners,19,Life/Physical Science,18,48,3,15,39.9,34,AI,41900.0,14246.0,71559.0,57313.0,136.8
19-3091,Anthropologists & Archeologists,19,Life/Physical Science,18,48,3,15,39.9,34,AI,6410.0,2179.0,71577.0,69397.0,1082.6
19-3092,Geographers,19,Life/Physical Science,18,48,3,15,39.9,34,AI,630.0,214.0,71580.0,71366.0,11327.9
19-3093,Historians,19,Life/Physical Science,18,48,3,15,39.9,34,AI,2410.0,819.0,71579.0,70759.0,2936.1
19-3094,Political Scientists,19,Life/Physical Science,10,48,3,15,43.5,37,AI,5330.0,1972.0,62172.0,60200.0,1129.5
19-3099,Social Scientists & Related NEC,19,Life/Physical Science,10,48,3,15,43.5,37,AI,36150.0,13376.0,62155.0,48780.0,134.9
19-4010,Agricultural & Food Science Technicians,19,Life/Physical Science,18,48,3,15,39.9,34,AI,0.0,0.0,71580.0,71580.0,
19-4021,Biological Technicians,19,Life/Physical Science,18,48,3,15,39.9,34,AI,74820.0,25439.0,71542.0,46104.0,61.6
19-4031,Chemical Technicians,19,Life/Physical Science,18,48,3,15,39.9,34,AI,55570.0,18894.0,71552.0,52658.0,94.8
19-4041,Environmental Science Technicians,19,Life/Physical Science,18,48,3,15,39.9,34,AI,0.0,0.0,71580.0,71580.0,
19-4051,Nuclear Technicians,19,Life/Physical Science,18,48,3,15,39.9,34,AI,3810.0,1295.0,71578.0,70283.0,1844.7
19-4061,Social Science Research Assistants,19,Life/Physical Science,23,48,2,15,37.4,32,AI,29720.0,9510.0,77481.0,67971.0,228.7
19-4071,Forest & Conservation Technicians,19,Life/Physical Science,18,48,3,15,39.9,34,AI,28150.0,9571.0,71566.0,61995.0,220.2
19-4092,Forensic Science Technicians,19,Life/Physical Science,18,48,3,15,39.9,34,AI,18560.0,6310.0,71571.0,65260.0,351.6
19-4099,"Life, Physical & Social Science Technicians NEC",19,Life/Physical Science,18,48,3,15,39.9,34,AI,68700.0,23358.0,71546.0,48188.0,70.1
21-1011,Substance Abuse & Behavioral Disorder Counselors,21,Community & Social,6,22,2,58,20.8,9,AI,0.0,0.0,96215.0,96215.0,
21-1012,"Educational, Guidance & Career Counselors",21,Community & Social,6,22,2,55,20.8,9,AI,337360.0,30362.0,96112.0,65750.0,19.5
21-1013,Marriage & Family Therapists,21,Community & Social,6,18,3,68,17.1,5,AI,63890.0,3194.0,99000.0,95805.0,150.0
21-1014,Mental Health Counselors,21,Community & Social,6,22,2,58,20.8,9,AI,0.0,0.0,96215.0,96215.0,
21-1015,Rehabilitation Counselors,21,Community & Social,6,22,2,55,20.8,9,AI,88390.0,7955.0,96188.0,88233.0,99.8
21-1019,Counselors NEC,21,Community & Social,6,22,2,55,20.8,9,AI,32010.0,2881.0,96205.0,93325.0,291.5
21-1021,"Child, Family & School Social Workers",21,Community & Social,6,32,3,55,30.3,14,AI,378740.0,53024.0,97592.0,44568.0,11.8
21-1022,Healthcare Social Workers,21,Community & Social,6,32,3,55,30.3,14,AI,183040.0,25626.0,97671.0,72046.0,39.4
21-1023,Mental Health & Substance Abuse Social Workers,21,Community & Social,6,32,3,58,30.3,13,AI,124290.0,16158.0,99984.0,83826.0,67.4
21-1029,Social Workers NEC,21,Community & Social,6,32,3,55,30.3,14,AI,62750.0,8785.0,97720.0,88935.0,141.7
21-1091,Health Educators,21,Community & Social,6,32,3,58,30.3,13,AI,65090.0,8462.0,100007.0,91545.0,140.6
21-1092,Probation Officers & Correctional Treatment Specialists,21,Community & Social,6,32,3,55,30.3,14,AI,83970.0,11756.0,97711.0,85956.0,102.4
21-1093,Social & Human Service Assistants,21,Community & Social,11,32,3,55,28.8,13,AI,425330.0,55293.0,104135.0,48842.0,11.5
21-1094,Community Health Workers,21,Community & Social,6,32,3,55,30.3,14,AI,59940.0,8392.0,97721.0,89330.0,149.0
21-2011,Clergy,21,Community & Social,6,20,2,90,18.9,2,AI,57600.0,1152.0,108463.0,107311.0,186.3
21-2021,Directors of Religious Activities,21,Community & Social,6,32,3,55,30.3,14,AI,19760.0,2766.0,97737.0,94971.0,480.6
21-2099,Religious Workers NEC,21,Community & Social,6,32,3,55,30.3,14,AI,8840.0,1238.0,97742.0,96504.0,1091.7
23-1011,Lawyers,23,Legal,3,60,3,70,58.3,17,AI,733320.0,124664.0,105992.0,-18673.0,-2.5
23-1012,Judicial Law Clerks,23,Legal,3,60,3,45,58.3,32,AI,11070.0,3542.0,71386.0,67844.0,612.9
23-1020,Administrative Law Judges,23,Legal,3,60,3,92,58.3,5,AI,0.0,0.0,139344.0,139344.0,
23-1021,"Arbitrators, Mediators & Conciliators",23,Legal,3,60,3,75,58.3,15,AI,12900.0,1935.0,111546.0,109611.0,849.7
23-1022,Judges & Magistrates,23,Legal,3,60,3,92,58.3,5,AI,2900.0,145.0,139343.0,139198.0,4799.9
23-1023,Hearing Officers,23,Legal,3,60,3,45,58.3,32,AI,22740.0,7277.0,71379.0,64102.0,281.9
23-2011,Paralegals & Legal Assistants,23,Legal,8,70,3,45,64.6,36,AI,362550.0,130518.0,64743.0,-65775.0,-18.1
23-2093,Legal Support Workers NEC,23,Legal,3,60,3,45,58.3,32,AI,46000.0,14720.0,71364.0,56644.0,123.1
25-1011,"Business Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,80230.0,12034.0,101730.0,89695.0,111.8
25-1012,"Computer Science Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,0.0,0.0,101763.0,101763.0,
25-1021,"Computer Science Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,35650.0,5348.0,101749.0,96401.0,270.4
25-1022,"Mathematical Science Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,48090.0,7214.0,101743.0,94530.0,196.6
25-1031,"Architecture & Engineering Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,7630.0,1144.0,101760.0,100616.0,1318.7
25-1041,"Agricultural Sciences Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,8400.0,1260.0,101760.0,100500.0,1196.4
25-1042,"Biological Science Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,48520.0,7278.0,101743.0,94465.0,194.7
25-1043,"Forestry & Conservation Science Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,860.0,129.0,101763.0,101634.0,11817.9
25-1051,"Atmospheric, Earth & Geosciences Teachers",25,Education & Library,6,38,3,58,35.9,15,AI,10790.0,1618.0,101759.0,100140.0,928.1
25-1052,"Chemistry Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,20230.0,3034.0,101755.0,98720.0,488.0
25-1053,"Environmental Science Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,6460.0,969.0,101761.0,100792.0,1560.2
25-1054,"Physics Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,13150.0,1972.0,101758.0,99785.0,758.8
25-1061,"Anthropology & Archeology Teachers, Postsecondary",25,Education & Library,6,38,3,58,35.9,15,AI,4650.0,698.0,101762.0,101064.0,2173.4
